condition,p_semantic,p_social,rep,period,repertoire_size,max_level,mean_score
random,0.0,0.0,0,0,0,0,0.0
random,0.0,0.0,0,1,4,1,27.3
random,0.0,0.0,0,2,5,2,37.8
random,0.0,0.0,0,3,7,3,46.8
random,0.0,0.0,0,4,8,3,53.1
random,0.0,0.0,0,5,8,3,56.7
random,0.0,0.0,0,6,8,3,60.3
random,0.0,0.0,0,7,8,3,63.9
random,0.0,0.0,0,8,8,3,69.6
random,0.0,0.0,0,9,8,3,73.2
random,0.0,0.0,0,10,9,4,74.7
random,0.0,0.0,0,11,10,4,76.5
random,0.0,0.0,0,12,10,4,77.7
random,0.0,0.0,0,13,10,4,80.1
random,0.0,0.0,0,14,10,4,82.8
random,0.0,0.0,0,15,10,4,85.2
random,0.0,0.0,0,16,10,4,89.1
random,0.0,0.0,0,17,10,4,91.2
random,0.0,0.0,0,18,10,4,92.1
random,0.0,0.0,0,19,10,4,93.6
random,0.0,0.0,0,20,10,4,91.2
random,0.0,0.0,0,21,11,5,93.4
random,0.0,0.0,0,22,11,5,95.0
random,0.0,0.0,0,23,12,5,104.4
random,0.0,0.0,0,24,13,6,108.5
random,0.0,0.0,0,25,14,6,117.3
random,0.0,0.0,0,26,14,6,114.9
random,0.0,0.0,0,27,14,6,116.1
random,0.0,0.0,0,28,14,6,123.7
random,0.0,0.0,0,29,14,6,132.3
random,0.0,0.0,0,30,14,6,108.9
random,0.0,0.0,0,31,14,6,99.8
random,0.0,0.0,0,32,14,6,94.1
random,0.0,0.0,0,33,14,6,94.4
random,0.0,0.0,0,34,14,6,91.7
random,0.0,0.0,0,35,14,6,90.0
random,0.0,0.0,0,36,13,6,81.3
random,0.0,0.0,0,37,13,6,87.3
random,0.0,0.0,0,38,11,5,65.2
random,0.0,0.0,0,39,11,5,57.1
random,0.0,0.0,0,40,9,4,59.1
random,0.0,0.0,0,41,9,4,61.5
random,0.0,0.0,0,42,9,4,66.9
random,0.0,0.0,0,43,9,4,70.8
random,0.0,0.0,0,44,9,4,70.2
random,0.0,0.0,0,45,9,4,73.2
random,0.0,0.0,0,46,9,4,78.6
random,0.0,0.0,0,47,9,4,79.5
random,0.0,0.0,0,48,9,4,84.3
